Street Number	Street Name	Street Side	Skytrain Station Name	BIA	Number of Racks	Year Installed
4441	W 10th Av	North		PGV	1	2011
4449	W 10th Av	North			1	Prior 2010
4455	W 10th Av	North			1	Prior 2010
4459	W 10th Av	North			1	Prior 2010
4501	W 10th Av	North		PGV	1	2011
4502	W 10th Av	South			1	Prior 2010
4538	W 10th Av	South		PGV	1	2011
4597	W 10th Av	North		PGV	1	2011
1440	W 12th Av	South			1	Prior 2010
1507	W 12th Av	North			3	2012
758	W 16th Av	South			1	2015
2100	W 16th Av	South			1	Prior 2010
2627	W 16th Av	North			1	Prior 2010
3195	W 16th Av	North			1	Prior 2010
3870	W 16th Av	South			1	Prior 2010
3637	W 17th Av	North			1	Prior 2010
106	W 1st Av	South			1	Prior 2010
1809	W 1st Av	North			1	Prior 2010
1898	W 1st Av	South			1	Prior 2010
1900	W 1st Av	South			1	Prior 2010
1900	W 1st Av	South			5	2015
2100	W 1st Av	South			1	2012
500	W 24th Av	North			1	2012
52	W 2nd Av	South			2	2012
1505	W 2nd Av	North			1	Prior 2010
1900	W 2nd Av	South			1	2012
60	W 3rd Av	South			1	2012
124	W 3rd Av	South			1	2012
1701	W 3rd Av	North			2	2015
2107	W 40th Av	North			1	2012
2208	W 41st Av	South			1	2012
2267	W 41st Av	North			1	2012
3510	W 41st Av	South		DBR	1	2016
3568	W 41st Av	South		DBR	1	2016
1972	W 4th Av	South			1	Prior 2010
2010	W 4th Av	South			3	Prior 2010
2023	W 4th Av	North			1	2011
2033	W 4th Av	North			1	Prior 2010
2061	W 4th Av	North			2	Prior 2010
2136	W 4th Av	South			2	Prior 2010
2152	W 4th Av	South			1	2011
2198	W 4th Av	South			2	Prior 2010
2206	W 4th Av	South			1	Prior 2010
2270	W 4th Av	South			1	Prior 2010
2340	W 4th Av	South			1	2010
2356	W 4th Av	South			1	Prior 2010
2360	W 4th Av	South			1	Prior 2010
2625	W 4th Av	North			1	2012
2662	W 4th Av	South			1	2012
2682	W 4th Av	South			1	2012
2695	W 4th Av	North			1	2012
2702	W 4th Av	South			1	2012
2705	W 4th Av	North		n/a	2	2016
2737	W 4th Av	North		n/a	2	2016
2745	W 4th Av	North		n/a	3	2016
2802	W 4th Av	South			1	Prior 2010
2835	W 4th Av	North			1	2015
2947	W 4th Av	North			1	2012
2952	W 4th Av	South			1	Prior 2010
2958	W 4th Av	South			1	Prior 2010
2959	W 4th Av	North			2	2013
3303	W 4th Av	North			1	2012
3502	W 4th Av	South			1	Prior 2010
3502	W 4th Av	South			1	2012
3512	W 4th Av	South			1	2012
3525	W 4th Av	North			1	2012
3525	W 4th Av	North			2	2013
3570	W 4th Av	South			1	Prior 2010
3650	W 4th Av	South			1	2012
3661	W 4th Av	North			1	2012
28	W 5th Ave	South			1	2014
204	W 6th	South			1	2014
112	W 6th Av	South			1	2012
196	W 6th Av	South			1	2013
199	W 6th Av	North			1	2013
4	W 7th Av	South			1	2012
75	W 7th Av	North			1	2012
368	W 7th Av	South			3	2013
33	W 8th Av	North			3	2012
138	W 8th Av	South			1	2012
224	W 8th Av	South			1	2012
1525	W 8th Av	North			2	Prior 2010
1765	W 8th Av	North			3	2015
15	W 8th Ave	North			4	2014
42	W 8th Ave	South			1	2014
147	W Broadway	North			1	Prior 2010
195	W Broadway	North			1	Prior 2010
230	W Broadway	South			1	Prior 2010
496	W Broadway	South	Broadway-City Hall		11	2012
686	W Broadway	South			1	Prior 2010
695	W Broadway	North			1	Prior 2010
1030	W Broadway	South			1	Prior 2010
1128	W Broadway	South			1	Prior 2010
1245	W Broadway	North			1	2012
1245	W Broadway	North			1	2013
1595	W Broadway	North			2	Prior 2010
1755	W Broadway	North			2	Prior 2010
1885	W Broadway	North			1	Prior 2010
1900	W Broadway	South			1	Prior 2010
2156	W Broadway	South			2	2015
2225	W Broadway	North			1	2014
2300	W Broadway	South			2	2014
2505	W Broadway	North			1	2012
2505	W Broadway	North			1	2014
2581	W Broadway	North			1	Prior 2010
2684	W Broadway	South			1	Prior 2010
2699	W Broadway	North			1	Prior 2010
2790	W Broadway	South		WB	1	2011
2837	W Broadway	North		WB	1	2011
2868	W Broadway	South			1	Prior 2010
2868	W Broadway	South		WB	1	2011
2902	W Broadway	South			1	Prior 2010
2951	W Broadway	West		WB	1	2017
3035	W Broadway	North			2	Prior 2010
3036	W Broadway	South		WB	1	2011
3038	W Broadway	South		WB	1	2011
3045	W Broadway	North		WB	1	2011
3083	W Broadway	North			1	Prior 2010
3083	W Broadway	East		WB	2	2011
3091	W Broadway	North		WB	1	2011
3124	W Broadway	South			1	Prior 2010
3126	W Broadway	South		WB	1	2011
3135	W Broadway	North		WB	1	2011
3235	W Broadway	North		WB	1	2011
3287	W Broadway	North			1	Prior 2010
3298	W Broadway	South			1	Prior 2010
3310	W Broadway	South			1	Prior 2010
3349	W Broadway	North		WB	1	2011
3422	W Broadway	South		WB	1	2011
2	W Cordova St	South		GT	5	2012
309	W Cordova St	West		GT	1	2016
314	W Cordova St	South			2	Prior 2010
403	W Cordova St	North		GT	2	2012
601	W Cordova St	North			1	Prior 2010
1100	W Cordova St	South			1	2012
650	W Georgia St	South			1	Prior 2010
702	W Georgia St	South	Vancouver City Centre		8	2012
885	W Georgia St	North			2	Prior 2010
43	W Hastings St	North			1	2012
106	W Hastings St	South		HC	1	2013
112	W Hastings St	South			1	Prior 2010
126	W Hastings St	South		HC	1	2013
163	W Hastings St	North			4	2011
198	W Hastings St	South			2	Prior 2010
198	W Hastings St	South			2	2010
219	W Hastings St	North			1	2012
227	W Hastings St	North			5	2011
314	W Hastings St	South			1	2012
337	W Hastings St	North			1	Prior 2010
473	W Hastings St	North			1	2012
473	W Hastings St	North			1	2011
492	W Hastings St	South			1	Prior 2010
515	W Hastings St	North			2	Prior 2010
555	W Hastings St	North			2	2012
601	W Hastings St	North			2	2010
602	W Hastings St	South			1	Prior 2010
609	W Hastings St	North			2	2010
808	W Hastings St	South			1	Prior 2010
1055	W Hastings St	North			2	2010
1177	W Hastings St	North			2	2014
1177	W Hastings St	North			2	2010
33	W Pender St	North			2	2015
59	W Pender St	North			1	2012
59	W Pender St	North			1	2015
99	W Pender St	North			1	2015
338	W Pender St	South		HC	1	2013
605	W Pender St	North			1	2011
617	W Pender St	North			1	2011
829	W Pender St	North			1	2012
402	W Pender St	South			1	Prior 2010
3	Water St	North		GT	3	2012
19	Water St	North		GT	1	2012
65	Water St	North			1	Prior 2010
302	Water St	West		GT	2	2016
5435	West Boulevard	West			1	Prior 2010
5665	West Boulevard	West			1	Prior 2010
6191	West Boulevard	West			1	Prior 2010
1500	Yew St	East			1	2015
1520	Yew St	East			1	2015
5687	Yew St	West			1	2012
1800	York Av	North			1	2014
2190	York Av	South			2	2015
2201	York Av	North			2	2014
2204	York Av	South			1	Prior 2010
2459	Yukon St	West			2	2014
